Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment,CLV_6m,CLV_12m,treatment,response
12346.0,326.0,12.0,77556.46,2.0,5.0,5.0,12,At Risk,11519.20737888801,22213.137397913648,0,0
12347.0,2.0,8.0,5266.22,5.0,4.0,5.0,14,Champions,1871.3473708147515,3595.8930387965283,0,1
12348.0,75.0,5.0,1659.3999999999999,3.0,4.0,4.0,11,Loyal Customers,558.2959649281306,1073.1685591945795,0,1
12349.0,19.0,3.0,2765.84,5.0,3.0,5.0,13,Loyal Customers,675.9354134719349,1301.3700736072992,0,1
12350.0,310.0,1.0,294.4,2.0,1.0,2.0,5,Others,0.0,0.0,1,0
12351.0,375.0,1.0,288.18,2.0,1.0,2.0,5,Others,0.0,0.0,1,0
12352.0,36.0,9.0,1461.99,4.0,5.0,4.0,13,Champions,532.4633153313517,1022.9867483650033,1,1
12353.0,204.0,2.0,347.06,2.0,2.0,2.0,6,Others,21.437819066594308,41.15897551477962,0,0
12354.0,232.0,1.0,845.25,2.0,1.0,3.0,6,Others,0.0,0.0,0,0
12355.0,214.0,2.0,882.3100000000001,2.0,2.0,3.0,7,Others,173.97201543165733,334.7585762951617,0,0
12356.0,246.0,5.0,3984.02,2.0,4.0,5.0,11,At Risk,911.0709787507694,1750.901046980171,1,0
12357.0,33.0,2.0,15629.91,4.0,2.0,5.0,11,Potential Loyalist,3107.8974688562084,5964.775790392679,0,1
12358.0,2.0,5.0,3245.4700000000003,5.0,4.0,5.0,14,Champions,474.9515248983839,915.7867106815298,0,1
12359.0,58.0,10.0,5062.89,4.0,5.0,5.0,14,Champions,1047.750124343061,2020.6642761730275,1,1
12360.0,52.0,6.0,3177.39,4.0,4.0,5.0,13,Champions,817.7703913005583,1575.948744613659,1,1
12361.0,287.0,4.0,451.25,2.0,3.0,2.0,7,Others,91.65686291612275,176.64603976665396,1,0
12362.0,3.0,10.0,4166.38,5.0,5.0,5.0,15,Champions,1900.0089410469766,3643.25869624077,0,1
12363.0,110.0,2.0,504.3,3.0,2.0,2.0,7,Others,219.50708731375295,419.79346255466805,0,0
12364.0,8.0,4.0,1186.2,5.0,3.0,4.0,12,Loyal Customers,731.92289039853,1392.981255833167,0,1
12365.0,291.0,1.0,307.94,2.0,1.0,2.0,5,Others,0.0,0.0,1,0
12366.0,634.0,1.0,500.24,1.0,1.0,2.0,4,Lost,0.0,0.0,0,0
12368.0,628.0,1.0,561.0,1.0,1.0,3.0,5,Lost,0.0,0.0,1,0
12369.0,413.0,3.0,1459.45,1.0,3.0,4.0,8,Others,280.781348367556,540.8589767035503,1,0
12370.0,51.0,7.0,3703.31,4.0,4.0,5.0,13,Champions,882.3383767139371,1700.5667552360364,0,1
12371.0,60.0,4.0,3228.78,3.0,3.0,5.0,11,Loyal Customers,859.7917623097562,1656.2463437468462,0,1
12372.0,72.0,3.0,1116.54,3.0,3.0,4.0,10,Loyal Customers,487.12698808319743,933.454738543484,0,1
12373.0,311.0,3.0,858.6500000000001,2.0,3.0,3.0,8,Others,150.1977336701577,289.4024531841331,1,0
12374.0,25.0,3.0,2470.62,4.0,3.0,4.0,11,Loyal Customers,372.9322100270021,717.9943138551325,0,1
