CustomerID,p_treat,p_ctrl,uplift,treatment,response,cum_n,percent,treat_resp,ctrl_resp,cum_treat,cum_ctrl,cum_treat_resp,cum_ctrl_resp,expected_ctrl_resp,incremental_resp
14410.0,0.2302677499845686,0.09852355937772264,0.13174419060684595,1,0,1,0.0006377551020408163,0,0,1,0,0,0,,
13003.0,0.14071400435100842,0.026810289016943413,0.11390371533406501,0,0,2,0.0012755102040816326,0,0,1,1,0,0,0.0,0.0
14823.0,0.12556850170550576,0.02697386589807755,0.09859463580742822,1,0,3,0.001913265306122449,0,0,2,1,0,0,0.0,0.0
13470.0,0.11037632447622067,0.016403591855336578,0.0939727326208841,1,0,4,0.002551020408163265,0,0,3,1,0,0,0.0,0.0
18018.0,0.11003061224489796,0.021424337488173396,0.08860627475672457,0,0,5,0.0031887755102040817,0,0,3,2,0,0,0.0,0.0
15729.0,0.06913885653500695,0.00831010455756971,0.06082875197743724,0,0,6,0.003826530612244898,0,0,3,3,0,0,0.0,0.0
15041.0,0.07814538765704858,0.019830916933948693,0.058314470723099886,1,0,7,0.004464285714285714,0,0,4,3,0,0,0.0,0.0
15306.0,0.9819571085160326,0.9240874158864003,0.05786969262963226,1,1,8,0.00510204081632653,1,0,5,3,1,0,0.0,1.0
13249.0,0.12071335778379387,0.06825418233114827,0.0524591754526456,0,0,9,0.005739795918367347,0,0,5,4,1,0,0.0,1.0
14177.0,0.948733547423017,0.8966380761759223,0.05209547124709468,0,1,10,0.006377551020408163,0,1,5,5,1,1,1.0,0.0
13133.0,0.05229940923737916,0.001990997513443334,0.05030841172393583,0,0,11,0.00701530612244898,0,0,5,6,1,1,0.8333333333333334,0.16666666666666663
12829.0,0.05229940923737916,0.001990997513443334,0.05030841172393583,0,0,12,0.007653061224489796,0,0,5,7,1,1,0.7142857142857143,0.2857142857142857
14241.0,0.06226275177441269,0.013160948658742384,0.049101803115670306,0,0,13,0.008290816326530613,0,0,5,8,1,1,0.625,0.375
17374.0,0.055632742570712504,0.008187967152989556,0.04744477541772295,0,0,14,0.008928571428571428,0,0,5,9,1,1,0.5555555555555556,0.4444444444444444
16928.0,0.9662783772831606,0.9197141334805485,0.04656424380261204,0,1,15,0.009566326530612245,0,1,5,10,1,2,1.0,0.0
14172.0,0.04789464733261726,0.0019143783161460941,0.04598026901647116,0,0,16,0.01020408163265306,0,0,5,11,1,2,0.9090909090909091,0.09090909090909094
17185.0,0.04789464733261726,0.0019143783161460941,0.04598026901647116,0,0,17,0.010841836734693877,0,0,5,12,1,2,0.8333333333333334,0.16666666666666663
13092.0,0.9440123970898984,0.8982839202309877,0.04572847685891068,0,1,18,0.011479591836734694,0,1,5,13,1,3,1.1538461538461537,-0.15384615384615374
17921.0,0.9736375964938797,0.9283465945899332,0.045291001903946526,1,1,19,0.01211734693877551,1,0,6,13,2,3,1.3846153846153846,0.6153846153846154
15980.0,0.9637506987997643,0.9192739686502694,0.044476730149494825,0,1,20,0.012755102040816327,0,1,6,14,2,4,1.7142857142857142,0.2857142857142858
17242.0,0.09465721484985525,0.05225355716383115,0.042403657686024096,0,0,21,0.013392857142857142,0,0,6,15,2,4,1.6,0.3999999999999999
17667.0,0.9693156500104333,0.92699316612976,0.04232248388067328,0,1,22,0.01403061224489796,0,1,6,16,2,5,1.875,0.125
15512.0,0.07638531935571118,0.034104667025338695,0.04228065233037248,1,0,23,0.014668367346938776,0,0,7,16,2,5,2.1875,-0.1875
15581.0,0.1013092719915774,0.059248496033671404,0.04206077595790599,1,0,24,0.015306122448979591,0,0,8,16,2,5,2.5,-0.5
15359.0,0.05210204081632653,0.012112434684803103,0.03998960613152343,0,0,25,0.01594387755102041,0,0,8,17,2,5,2.3529411764705883,-0.3529411764705883
16883.0,0.08598288320100954,0.04630085427733327,0.03968202892367627,1,0,26,0.016581632653061226,0,0,9,17,2,5,2.6470588235294117,-0.6470588235294117
14565.0,0.10112209616927754,0.06293814360766309,0.038183952561614457,0,0,27,0.01721938775510204,0,0,9,18,2,5,2.5,-0.5
16755.0,0.10245798367304068,0.06499205755644966,0.037465926116591025,1,0,28,0.017857142857142856,0,0,10,18,2,5,2.7777777777777777,-0.7777777777777777
15674.0,0.9600787301121343,0.9229520423085805,0.03712668780355377,1,1,29,0.018494897959183673,1,0,11,18,3,5,3.0555555555555554,-0.05555555555555536
16455.0,0.968083751374468,0.9311150057256853,0.03696874564878272,1,1,30,0.01913265306122449,1,0,12,18,4,5,3.3333333333333335,0.6666666666666665
15062.0,0.9746308928614178,0.938157983388771,0.03647290947264681,0,1,31,0.019770408163265307,0,1,12,19,4,6,3.789473684210526,0.2105263157894739
14409.0,0.9678000634312056,0.932106056083595,0.035694007347610635,1,1,32,0.02040816326530612,1,0,13,19,5,6,4.105263157894737,0.8947368421052628
17774.0,0.10772481658515662,0.07228195658329337,0.03544286000186325,0,0,33,0.021045918367346938,0,0,13,20,5,6,3.9,1.1
13901.0,0.9598803174137218,0.9263807557265673,0.03349956168715451,0,1,34,0.021683673469387755,0,1,13,21,5,7,4.333333333333333,0.666666666666667
14854.0,0.9645220483592465,0.9311150057256853,0.0334070426335612,0,1,35,0.022321428571428572,0,1,13,22,5,8,4.7272727272727275,0.2727272727272725
17446.0,0.04890476190476191,0.015823773825654364,0.033080988079107546,0,0,36,0.02295918367346939,0,0,13,23,5,8,4.521739130434782,0.47826086956521774
13859.0,0.03597481320885576,0.005031763748099885,0.030943049460755875,0,0,37,0.023596938775510203,0,0,13,24,5,8,4.333333333333333,0.666666666666667
18094.0,0.9634399910263614,0.932598511235134,0.03084147979122731,0,1,38,0.02423469387755102,0,1,13,25,5,9,4.68,0.3200000000000003
15764.0,0.960702085771684,0.9309358269231971,0.029766258848486937,0,1,39,0.024872448979591837,0,1,13,26,5,10,5.0,0.0
15606.0,0.9579358729692773,0.9291510259968376,0.02878484697243966,1,1,40,0.025510204081632654,1,0,14,26,6,10,5.384615384615385,0.615384615384615
13771.0,0.9546387301121344,0.9261190065340454,0.028519723578088962,0,1,41,0.02614795918367347,0,1,14,27,6,11,5.703703703703703,0.2962962962962967
13561.0,0.05571061030536141,0.02747089373966357,0.02823971656569784,0,0,42,0.026785714285714284,0,0,14,28,6,11,5.5,0.5
17309.0,0.05645353929535537,0.02851516140627238,0.027938377889082988,1,0,43,0.0274234693877551,0,0,15,28,6,11,5.892857142857143,0.10714285714285676
13720.0,0.07580566120517451,0.04791348034069053,0.02789218086448398,1,0,44,0.02806122448979592,0,0,16,28,6,11,6.285714285714286,-0.2857142857142856
